Day	Date	Time Off	Location at night	Lodging Cost	Lodging	Drive Time	Notes
Friday	6-Aug		Lake Tahoe	$124.10	VRBO	4	Friend's birthday
Saturday	7-Aug		Lake Tahoe	$124.10			
Sunday	8-Aug		Bend, OR	$90.10	Airbnb	8	Friends
Monday	9-Aug		Bend, OR	$90.10			
Tuesday	10-Aug		Bend, OR	$90.10			
Wednesday	11-Aug		Bend, OR	$90.10			
Thursday	12-Aug		Portland, OR	$156.27	Airbnb	3	Friends
Friday	13-Aug		Portland, OR	$156.27			Friends
Saturday	14-Aug		Portland, OR	$156.27			
Sunday	15-Aug		Seattle, WA	$148.00	Hotel	3	Mt Rainier NP
Monday	16-Aug		Seattle, WA	$229.42	Airbnb		
Tuesday	17-Aug		Seattle, WA	$229.42			
Wednesday	18-Aug		Seattle, WA	$229.42			Friends
Thursday	19-Aug		Seattle, WA	$229.42			
Friday	20-Aug		Seattle, WA	$229.42			
Saturday	21-Aug		Seattle, WA	$229.42			
Sunday	22-Aug		Port Angeles, WA	$300.19	Airbnb	3	Olympic NP
Monday	23-Aug		Port Angeles, WA	$300.19			
Tuesday	24-Aug		Port Angeles, WA	$300.19			
Wednesday	25-Aug		Seaside, OR	$311.00	River Inn at Seaside	6	
Thursday	26-Aug		Seaside, OR	$311.00			
Friday	27-Aug		Seaside, OR	$311.00			
Saturday	28-Aug		Eugene, OR	$233.00	Even Hotels Eugene	4	
Sunday	29-Aug		Reno, NV	$137.71	Airbnb	6	
Monday	30-Aug		Reno, NV	$137.71			
Tuesday	31-Aug		Reno, NV	$137.71			
Wednesday	1-Sep		Reno, NV			6	Friend meetup
Thursday	2-Sep	PTO	Black Rock, NV			2	Burning Man
Friday	3-Sep	PTO	Black Rock, NV				Burning Man
Saturday	4-Sep		Black Rock, NV				Burning Man
Sunday	5-Sep		Incline Village, NV			3	
Monday	6-Sep	Labor Day	Los Angeles, CA	$75.00		9	
Tuesday	7-Sep		Los Angeles, CA	$75.00			
Wednesday	8-Sep		Los Angeles, CA	$75.00			
Thursday	9-Sep		Los Angeles, CA	$75.00		5	
Friday	10-Sep		Los Angeles, CA	$75.00			Life is Beautiful
Saturday	11-Sep		San Diego, CA			3	Life is Beautiful
Sunday	12-Sep		Los Angeles, CA	$75.00		3	
Monday	13-Sep		Los Angeles, CA	$75.00			
Tuesday	14-Sep		Los Angeles, CA	$75.00			
Wednesday	15-Sep		Las Vegas, NV			5	
Thursday	16-Sep	PTO	Las Vegas, NV				
Friday	17-Sep	PTO	Las Vegas, NV				
Saturday	18-Sep		Las Vegas, NV				
Sunday	19-Sep		Los Angeles, CA	$75.00		5	
Monday	20-Sep		Los Angeles, CA	$75.00			
Tuesday	21-Sep		Los Angeles, CA	$75.00			
Wednesday	22-Sep		Los Angeles, CA	$75.00			
Thursday	23-Sep		Los Angeles, CA	$75.00			
Friday	24-Sep		Los Angeles, CA	$75.00			
Saturday	25-Sep		Los Angeles, CA	$75.00			Hollywood Bowl (James Blake)
Sunday	26-Sep		Los Angeles, CA	$75.00			
Monday	27-Sep		Los Angeles, CA	$75.00			
Tuesday	28-Sep		Los Angeles, CA	$75.00			
Wednesday	29-Sep		Los Angeles, CA	$75.00			
Thursday	30-Sep		Los Angeles, CA	$75.00			
Friday	1-Oct		Los Angeles, CA	$75.00			LA State Historic Park (Porter Robinson)
Saturday	2-Oct		Flagstaff, AZ			8	Friends
Sunday	3-Oct		Albuquerque, NM	$75.00		5	Petrified Forest NP
Monday	4-Oct		Albuquerque, NM	$75.00			
Tuesday	5-Oct		Albuquerque, NM	$75.00			
Wednesday	6-Oct		Santa Fe, NM	$120.00		1	Albuquerque Balloon Fiesta
Thursday	7-Oct		Santa Fe, NM	$120.00			
Friday	8-Oct		Santa Fe, NM	$120.00			
Saturday	9-Oct		Great Sand Dunes, CO	$20.00		4	Great Sand Dunes NP
Sunday	10-Oct		Denver, CO	$147.40	Airbnb	4	
